,titulo,descripcion,precio,ciudad,fecha_ini,fecha_fin
75,Valencia Tourist Card,"La tarjeta turística de Valencia os permitirá ahorrar con importantes descuentos en museos y atracciones, además del uso ilimitado del transporte público.",15,valencia,2024-11-08,2024-11-10
76,Tour del Santo Grial,"En este tour del Santo Grial veremos una reliquia única que se custodia en la catedral de Valencia. Además, descubriremos cómo llegó a la ciudad del Turia.",16,valencia,2024-11-08,2024-11-10
77,Excursión a Sagunto,En esta excursión a Sagunto seguiréis las huellas de los romanos en la Comunidad Valenciana. Descubriréis vestigios como el teatro o la Vía Augusta.,45,valencia,2024-11-08,2024-11-10
78,Tour de la Guerra Civil Española,Acompañadnos a descubrir qué huellas se conservan en Valencia del conflicto bélico acontecido en España entre 1936 y 1939 en este tour de la Guerra Civil.,12,valencia,2024-11-08,2024-11-10
79,Hard Rock Cafe Valencia sin colas,¿Queréis sentiros como reyes del rock? El Hard Rock Cafe Valencia os espera con un rico menú para disfrutar de la comida americana rodeados de música.,30,valencia,2024-11-08,2024-11-10
80,Visita de la Sagrada Familia sin colas,Si hay un lugar que nadie puede perderse en Barcelona es la Sagrada Familia. En esta visita descubriremos la obra maestra de Gaudí saltándonos sus colas.,55,barcelona,2024-11-01,2024-11-03
81,Free tour por Barcelona,"El free tour por Barcelona es la mejor forma de explorar a pie la capital catalana. Conoceremos las calles, plazas y monumentos imprescindibles de la ciudad.",0,barcelona,2024-11-01,2024-11-03
82,Excursión a Montserrat con tren cremallera,"En esta excursión a Montserrat podréis visitar el Santuario de la Patrona de Cataluña, a 1236 metros de altura, y llegar en tren cremallera.",57,barcelona,2024-11-01,2024-11-03
83,Visita guiada por el Parque Güell,En esta visita guiada por el Parque Güell de Barcelona visitaremos una de las grandes joyas modernistas de Antonio Gaudí en la capital de Cataluña.,25.60,barcelona,2024-11-01,2024-11-03
84,Sagrada Familia con subida a las torres,En esta visita a la Sagrada Familia conoceremos el lugar más famoso de Barcelona y subiremos a una de sus torres. ¡Tendremos una vista inmejorable de la ciudad!,70,barcelona,2024-11-01,2024-11-03
85,Traslados en Barcelona,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",46,barcelona,2024-11-01,2024-11-03
86,Free tour de Gaudí y la Barcelona modernista,Acompañadnos a visitar el corazón de Barcelona en este free tour de Gaudí que nos llevará a descubrir los principales símbolos del modernismo en España.,0,barcelona,2024-11-01,2024-11-03
87,Tour por la Sagrada Familia y el Parque Güell,"En este tour por Barcelona visitaremos la Sagrada Familia y el Parque Güell, las dos grandes joyas de la arquitectura modernista de Antonio Gaudí.",89,barcelona,2024-11-01,2024-11-03
88,Excursión a Andorra y Aux Les Thermes,"¿Queréis conocer Andorra? En esta excursión desde Barcelona visitaremos Andorra la Vella, Pas de la Casa y el bonito pueblo francés de Aux Les Thermes.",109,barcelona,2024-11-01,2024-11-03
89,Tour de Barcelona al completo,"¿Queréis conocer lo mejor de Barcelona en un día? En este tour recorreremos la ciudad, subiremos al teleférico, pasearemos por el centro y por el Barrio Gótico.",49.50,barcelona,2024-11-01,2024-11-03
90,Entrada a la Casa Batlló,Con la entrada a la Casa Batlló os sumergiréis en esta joya del modernismo y uno de los iconos de Barcelona. Conoceréis una de las obras más creativas de Gaudí.,35,barcelona,2024-11-01,2024-11-03
91,"Excursión a Gerona, Figueras y Cadaqués","Si estáis en Barcelona y queréis visitar lo mejor de la Costa Brava, no os perdáis esta excursión a Gerona, Figueras y Cadaqués. ¡Tres lugares imprescindibles!",55,barcelona,2024-11-01,2024-11-03
92,Tarjeta eSIM Civitatis España,"Si vais a viajar por España, con esta tarjeta eSIM con Internet podréis conectaros fácilmente a la red y mantener el contacto con vuestros familiares y amigos.",4.10,barcelona,2024-11-01,2024-11-03
93,Autobús turístico de Barcelona,A bordo del autobús turístico de Barcelona contaréis con dos rutas y múltiples paradas en las que podréis subir y bajar todas las veces que queráis.,33,barcelona,2024-11-01,2024-11-03
94,Free tour nocturno por el Barrio Gótico,En este free tour nocturno por el Barrio Gótico de Barcelona conoceremos la historia de la Ciudad Condal mientras contemplamos su preciosa iluminación.,0,barcelona,2024-11-01,2024-11-03
95,Tour de los misterios y leyendas de Barcelona,En esta ruta nocturna por Barcelona descubriremos las historias y leyendas de la Ciudad Condal en sus calles más antiguas. ¿Listos para desvelar sus misterios?,14,barcelona,2024-11-01,2024-11-03
96,Entrada al Spotify Camp Nou,"Si queréis visitar el estadio del Fútbol Club Barcelona, con esta entrada al Spotify Camp Nou podréis recorrer a vuestro aire el Museo del Barça.",16,barcelona,2024-11-01,2024-11-03
97,Excursión a Montserrat + Visita a una bodega,"En esta excursión a Montserrat no solo disfrutaremos de un tour por la abadía, sino que también degustaremos los vinos y tapas más famosos de Cataluña.",79.90,barcelona,2024-11-01,2024-11-03
98,Free tour de los misterios y leyendas del Barrio Gótico,Acompañadnos en este free tour por Barcelona en el que os contaremos los misterios y leyendas más divertidas del Barrio Gótico. ¡Lo pasaréis en grande!,0,barcelona,2024-11-01,2024-11-03
99,"Excursión a Gerona, Figueras y Museo Dalí","En esta excursión a Gerona y Figueras conoceremos dos de las ciudades más especiales de Cataluña. Además, visitaremos el Museo Dalí, la obra magna del artista.",79,barcelona,2024-11-01,2024-11-03
100,Tour privado por Barcelona ¡Tú eliges!,"Reservando nuestra visita privada tendréis un guía para descubrir Barcelona en exclusiva con vuestra pareja, con tu familia o con tu grupo de amigos.",160,barcelona,2024-11-01,2024-11-03
101,Entrada a La Pedrera,"Adentraos en el mundo arquitectónico de Gaudí visitando la Casa Milà, conocida popularmente como La Pedrera. ¡Todo un imprescindible de Barcelona!",29,barcelona,2024-11-01,2024-11-03
102,Tour en tuk tuk por Barcelona,¿Os gustaría visitar las maravillas de Gaudí desde otro punto de vista? En el tour en tuk tuk por Barcelona recorreremos la ciudad de forma cómoda y divertida.,53.40,barcelona,2024-11-01,2024-11-03
103,Paseo en catamarán al atardecer con música en directo,"Contempla el skyline de Barcelona mientras disfrutas de un paseo en catamarán. Además, escucharás música jazz en vivo. ¡Inolvidable!",25.50,barcelona,2024-11-01,2024-11-03
104,Teleférico de Montjuïc,Con esta entrada al Teleférico de Montjuïc podréis ascender hasta la cima de la montaña con más historia de Barcelona y disfrutar de las vistas de la ciudad.,16,barcelona,2024-11-01,2024-11-03
105,Free tour por el Parque Güell,En este free tour por el Parque Güell conoceremos los puntos más importantes de una de las obras más emblemáticas de Antoni Gaudí. ¡Un recorrido imprescindible!,0,barcelona,2024-11-01,2024-11-03
106,Excursión a Tarragona y Sitges,En esta excursión a Tarragona y Sitges desde Barcelona visitaremos estas dos preciosas localidades de la costa catalana que os enamorarán de principio a fin.,98.50,barcelona,2024-11-01,2024-11-03
107,Espectáculo flamenco en el Tablao Cordobés,"Contagiaos de los ritmos flamencos en el Tablao Cordobés de Barcelona, una experiencia única que podréis completar con una cena gastronómica.",46,barcelona,2024-11-01,2024-11-03
108,Entrada a L’Aquàrium de Barcelona,"Con esta entrada sin colas a L'Aquarium de Barcelona, el más importante del mundo en temática mediterránea, descubriréis numerosas especies marinas.",26,barcelona,2024-11-01,2024-11-03
109,Visita guiada por la basílica de Santa María del Mar,La catedral del mar popularizó uno de los grandes templos de Barcelona. Descubriremos sus secretos en esta visita guiada por la basílica de Santa María del Mar.,15,barcelona,2024-11-01,2024-11-03
110,Paseo en catamarán por Barcelona,En este paseo en catamarán por Barcelona navegaremos a bordo de una embarcación ecológica propulsada por energía solar. ¡Tendréis las mejores vistas!,14,barcelona,2024-11-01,2024-11-03
111,Free tour por Montjuïc,"Naturaleza, historia y miradores protagonizan este free tour por Montjuïc. Un recorrido repleto de curiosidades por la montaña más famosa de Barcelona.",0,barcelona,2024-11-01,2024-11-03
112,Paseo en velero por Barcelona,"En este paseo en velero por Barcelona recorreremos la costa y tendremos las mejores vistas de la Ciudad Condal. Además, podréis bañaros en el Mediterráneo.",55,barcelona,2024-11-01,2024-11-03
113,Visita por el Palau de la Música Catalana,Durante la visita por el Palau de la Música admiraremos la única sala de conciertos Patrimonio de la Humanidad. ¡Uno de los edificios más famosos de Barcelona!,22,barcelona,2024-11-01,2024-11-03
114,Free tour por El Raval,"Animaos a conocer el famoso barrio de El Raval en este free tour por Barcelona. Historias sorprendentes, arte urbano y edificios medievales os están esperando.",0,barcelona,2024-11-01,2024-11-03
115,Free tour por la Barceloneta y el parque de la Ciudadela,En este free tour por la Barceloneta y la Ciudadela visitaremos el parque más grande de la capital catalana y la playa más famosa de Barcelona. ¡Imprescindible!,0,barcelona,2024-11-01,2024-11-03
116,"Tour de Dalí por Cadaqués, Figueras y Portlligat","En esta excursión conoceremos Cadaqués, Figueras y Portlligat, lugares que marcaron la vida de Salvador Dalí. Además, visitaremos dos museos del célebre pintor.",159,barcelona,2024-11-01,2024-11-03
117,Visita guiada por el Spotify Camp Nou,"Recorred junto a un guía experto en fútbol el Spotify Camp Nou, estadio de uno de los mejores equipos de los últimos años: el FC Barcelona.",51,barcelona,2024-11-01,2024-11-03
118,Entrada al Recinto Modernista de Sant Pau,"Con esta entrada al Recinto Modernista de Sant Pau podréis descubrir el conjunto modernista más grande del mundo, obra del arquitecto Lluís Domènech i Montaner.",17,barcelona,2024-11-01,2024-11-03
119,"Excursión a Cardona, Montaña de Sal y Montserrat",En esta excursión viajaremos hasta el siglo IX y nos adentraremos en los vestigios romanos del castillo de Cardona y visitaremos su Montaña de Sal.,110,barcelona,2024-11-01,2024-11-03
120,Visita de la Sagrada Familia sin colas,Si hay un lugar que nadie puede perderse en Barcelona es la Sagrada Familia. En esta visita descubriremos la obra maestra de Gaudí saltándonos sus colas.,55,barcelona,2024-11-08,2024-11-10
121,Free tour por Barcelona,"El free tour por Barcelona es la mejor forma de explorar a pie la capital catalana. Conoceremos las calles, plazas y monumentos imprescindibles de la ciudad.",0,barcelona,2024-11-08,2024-11-10
122,Excursión a Montserrat con tren cremallera,"En esta excursión a Montserrat podréis visitar el Santuario de la Patrona de Cataluña, a 1236 metros de altura, y llegar en tren cremallera.",57,barcelona,2024-11-08,2024-11-10
123,Visita guiada por el Parque Güell,En esta visita guiada por el Parque Güell de Barcelona visitaremos una de las grandes joyas modernistas de Antonio Gaudí en la capital de Cataluña.,25.60,barcelona,2024-11-08,2024-11-10
124,Traslados en Barcelona,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",46,barcelona,2024-11-08,2024-11-10
125,Sagrada Familia con subida a las torres,En esta visita a la Sagrada Familia conoceremos el lugar más famoso de Barcelona y subiremos a una de sus torres. ¡Tendremos una vista inmejorable de la ciudad!,70,barcelona,2024-11-08,2024-11-10
126,Free tour de Gaudí y la Barcelona modernista,Acompañadnos a visitar el corazón de Barcelona en este free tour de Gaudí que nos llevará a descubrir los principales símbolos del modernismo en España.,0,barcelona,2024-11-08,2024-11-10
127,Tour por la Sagrada Familia y el Parque Güell,"En este tour por Barcelona visitaremos la Sagrada Familia y el Parque Güell, las dos grandes joyas de la arquitectura modernista de Antonio Gaudí.",89,barcelona,2024-11-08,2024-11-10
128,Excursión a Andorra y Aux Les Thermes,"¿Queréis conocer Andorra? En esta excursión desde Barcelona visitaremos Andorra la Vella, Pas de la Casa y el bonito pueblo francés de Aux Les Thermes.",109,barcelona,2024-11-08,2024-11-10
129,Tour de Barcelona al completo,"¿Queréis conocer lo mejor de Barcelona en un día? En este tour recorreremos la ciudad, subiremos al teleférico, pasearemos por el centro y por el Barrio Gótico.",49.50,barcelona,2024-11-08,2024-11-10
130,Entrada a la Casa Batlló,Con la entrada a la Casa Batlló os sumergiréis en esta joya del modernismo y uno de los iconos de Barcelona. Conoceréis una de las obras más creativas de Gaudí.,35,barcelona,2024-11-08,2024-11-10
